SKU,CustomsDescription,CustomsTariffNo,CustomsCountry
DOT-A5-WIL-AB,Notebook (bound journal),4820102060,CA
GRP-A5-RIV,Notebook (bound journal),4820102060,CA
NTB-LIN-A5-RIV-IM,Notebook (bound journal),4820102060,CA
NTB-LIN-A5-WIN-IM,Notebook (bound journal),4820102060,CA
LIN-A5-MOO,Notebook (bound journal),4820102060,CA
LIN-A5-SNA,Notebook (bound journal),4820102060,CA
GRP-B5-CHA,"Notebook (sewn journal, B5 size)",4820102030,CA
DOT-B5-MOS,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-GRD-B5-FWN-IM,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-GRD-TN-FWN-IM,Notebook (bound journal),4820102060,CA
LIN-A5-MOS,Notebook (bound journal),4820102060,CA
GRP-TN-BLO,Notebook (bound journal),4820102060,CA
IMP-DOT-ENC-A5,Notebook (bound journal),4820102060,CA
IMP-DOT-WOO-A5,Notebook (bound journal),4820102060,CA
GRP-A5-WOO,Notebook (bound journal),4820102060,CA
LIN-A5-WOO-AB,Notebook (bound journal),4820102060,CA
GRP-B5-CHA-AB,"Notebook (sewn journal, B5 size)",4820102030,CA
DLP-UND-OAK-IM,Planner agenda (bound diary),4820102010,CA
DLP-UND-WDL-IM,Planner agenda (bound diary),4820102010,CA
WKP-UND-AUT-IM,Planner agenda (bound diary),4820102010,CA
WKP-UND-AUT-IM-AA,Planner agenda (bound diary),4820102010,CA
WKP-UND-BLO-IM,Planner agenda (bound diary),4820102010,CA
WKP-UND-BLO-IM-AA,Planner agenda (bound diary),4820102010,CA
WKP-UND-BTR-IM,Planner agenda (bound diary),4820102010,CA
WKP-UND-CHB-IM-AA,Planner agenda (bound diary),4820102010,CA
WKP-UND-ECF-IM-AB,Planner agenda (bound diary),4820102010,CA
WKP-UND-FWN-IM-AA,Planner agenda (bound diary),4820102010,CA
WKP-UND-MNF-IM-AA,Planner agenda (bound diary),4820102010,CA
WKP-UND-MOS-IM-AB,Planner agenda (bound diary),4820102010,CA
WKP-UND-RIV-IM-AA,Planner agenda (bound diary),4820102010,CA
WKP-UND-OAK-IM,Planner agenda (bound diary),4820102010,CA
